TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-29,2026-04-29,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7315.75,7369.25,7210.45,7265.00,7259.65,7289.85,,7264.50,,,11062,80426469.00,2852,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,714.40,716.95,706.30,708.85,710.80,711.90,,709.65,,,13943,9913237.00,995,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,899.00,909.50,888.15,890.75,890.80,897.70,,890.50,,,64440,57650225.00,2534,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,33.57,34.00,32.00,32.31,32.31,33.14,,32.50,,,28165,927666.00,372,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,39.02,40.99,39.02,40.05,40.05,39.26,,40.05,,,31303,1250258.00,243,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.61,3.74,3.61,3.74,3.74,3.68,,3.73,,,42771,157941.00,33,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.10,4.24,4.02,4.17,4.17,4.08,,4.17,,,8739,35933.00,59,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.44,8.49,8.07,8.24,8.48,8.36,,8.24,,,2543,21314.00,16,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,115.00,116.75,114.00,114.58,114.34,114.93,,114.47,,,22993,2649901.00,395,F1,1,,,,,
2026-04-29,2026-04-29,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,300.00,302.40,299.25,302.40,302.40,295.00,,299.30,,,223,66946.00,46,F1,1,,,,,
